casa_idx,tipo,detector,familia,score_raw,score_norm,tau_norm,detectado
9,PartialBypass,Autoencoder,C-ML,0.015106,0.015438,0.636989,False
9,Smoothing,Autoencoder,C-ML,0.075888,0.079781,0.636989,False
9,FlipSchedule,Autoencoder,C-ML,0.369364,0.390453,0.636989,False
9,SuddenDrop,Autoencoder,C-ML,0.026726,0.027738,0.636989,False
9,SyntheticNoise,Autoencoder,C-ML,0.326166,0.344723,0.636989,False
9,FlatLine,Autoencoder,C-ML,0.527636,0.557998,0.636989,False
9,SpikeEvent,Autoencoder,C-ML,1.0,1.058039,0.636989,True
0,normal,Conformal,D-Alternativo,0.448276,0.447515,0.914164,False
0,PartialBypass,Conformal,D-Alternativo,0.655172,0.657454,0.914164,False
0,Smoothing,Conformal,D-Alternativo,0.275862,0.272567,0.914164,False
0,FlipSchedule,Conformal,D-Alternativo,0.62069,0.622464,0.914164,False
0,SuddenDrop,Conformal,D-Alternativo,0.758621,0.762423,0.914164,False
0,SyntheticNoise,Conformal,D-Alternativo,0.517241,0.517495,0.914164,False
0,FlatLine,Conformal,D-Alternativo,0.62069,0.622464,0.914164,False
0,SpikeEvent,Conformal,D-Alternativo,0.758621,0.762423,0.914164,False
1,normal,Conformal,D-Alternativo,0.275862,0.272567,0.914164,False
1,PartialBypass,Conformal,D-Alternativo,0.551724,0.552485,0.914164,False
1,Smoothing,Conformal,D-Alternativo,0.206897,0.202587,0.914164,False
1,FlipSchedule,Conformal,D-Alternativo,0.517241,0.517495,0.914164,False
1,SuddenDrop,Conformal,D-Alternativo,0.758621,0.762423,0.914164,False
1,SyntheticNoise,Conformal,D-Alternativo,0.275862,0.272567,0.914164,False
1,FlatLine,Conformal,D-Alternativo,0.517241,0.517495,0.914164,False
1,SpikeEvent,Conformal,D-Alternativo,0.689655,0.692444,0.914164,False
2,normal,Conformal,D-Alternativo,0.0,0.0,0.914164,False
2,PartialBypass,Conformal,D-Alternativo,0.586207,0.587474,0.914164,False
2,Smoothing,Conformal,D-Alternativo,0.206897,0.202587,0.914164,False
2,FlipSchedule,Conformal,D-Alternativo,0.310345,0.307556,0.914164,False
