Detector,Familia,DR_global,AR_global,tau,TipoAnomalia,DR_tipo,n_tipo,n_orig,muestra
IForest,C-ML,0.1143,0.1017,0.6619,FlipSchedule,0.4,5,118,single_house
IForest,C-ML,0.1143,0.1017,0.6619,SuddenDrop,0.0,5,118,single_house
IForest,C-ML,0.1143,0.1017,0.6619,SyntheticNoise,0.0,5,118,single_house
IForest,C-ML,0.1143,0.1017,0.6619,FlatLine,0.2,5,118,single_house
IForest,C-ML,0.1143,0.1017,0.6619,SpikeEvent,0.0,5,118,single_house
OCSVM,C-ML,0.2286,0.1017,0.2027,PartialBypass,0.0,5,118,single_house
OCSVM,C-ML,0.2286,0.1017,0.2027,Smoothing,0.0,5,118,single_house
OCSVM,C-ML,0.2286,0.1017,0.2027,FlipSchedule,0.4,5,118,single_house
OCSVM,C-ML,0.2286,0.1017,0.2027,SuddenDrop,0.0,5,118,single_house
OCSVM,C-ML,0.2286,0.1017,0.2027,SyntheticNoise,0.2,5,118,single_house
OCSVM,C-ML,0.2286,0.1017,0.2027,FlatLine,0.4,5,118,single_house
OCSVM,C-ML,0.2286,0.1017,0.2027,SpikeEvent,0.6,5,118,single_house
Autoencoder,C-ML,0.2286,0.1017,0.1231,PartialBypass,0.0,5,118,single_house
Autoencoder,C-ML,0.2286,0.1017,0.1231,Smoothing,0.0,5,118,single_house
Autoencoder,C-ML,0.2286,0.1017,0.1231,FlipSchedule,0.4,5,118,single_house
Autoencoder,C-ML,0.2286,0.1017,0.1231,SuddenDrop,0.0,5,118,single_house
Autoencoder,C-ML,0.2286,0.1017,0.1231,SyntheticNoise,0.2,5,118,single_house
Autoencoder,C-ML,0.2286,0.1017,0.1231,FlatLine,0.4,5,118,single_house
Autoencoder,C-ML,0.2286,0.1017,0.1231,SpikeEvent,0.6,5,118,single_house
RobustPCA,D-Alternativo,0.2286,0.1017,0.2962,PartialBypass,0.0,5,118,single_house
RobustPCA,D-Alternativo,0.2286,0.1017,0.2962,Smoothing,0.0,5,118,single_house
RobustPCA,D-Alternativo,0.2286,0.1017,0.2962,FlipSchedule,0.4,5,118,single_house
RobustPCA,D-Alternativo,0.2286,0.1017,0.2962,SuddenDrop,0.0,5,118,single_house
RobustPCA,D-Alternativo,0.2286,0.1017,0.2962,SyntheticNoise,0.2,5,118,single_house
RobustPCA,D-Alternativo,0.2286,0.1017,0.2962,FlatLine,0.4,5,118,single_house
RobustPCA,D-Alternativo,0.2286,0.1017,0.2962,SpikeEvent,0.6,5,118,single_house
Conformal,D-Alternativo,0.1714,0.1017,0.9186,PartialBypass,0.0,5,118,single_house
Conformal,D-Alternativo,0.1714,0.1017,0.9186,Smoothing,0.0,5,118,single_house
Conformal,D-Alternativo,0.1714,0.1017,0.9186,FlipSchedule,0.4,5,118,single_house
Conformal,D-Alternativo,0.1714,0.1017,0.9186,SuddenDrop,0.0,5,118,single_house
Conformal,D-Alternativo,0.1714,0.1017,0.9186,SyntheticNoise,0.0,5,118,single_house
Conformal,D-Alternativo,0.1714,0.1017,0.9186,FlatLine,0.2,5,118,single_house
