Detector,Familia,DR_global,AR_global,tau,TipoAnomalia,DR_tipo,n_tipo,n_orig,muestra
IForest,C-ML,0.0595,0.1019,0.4835,Smoothing,0.0833333333333333,12,265,annual
IForest,C-ML,0.0595,0.1019,0.4835,FlipSchedule,0.1666666666666666,12,265,annual
IForest,C-ML,0.0595,0.1019,0.4835,SuddenDrop,0.0,12,265,annual
IForest,C-ML,0.0595,0.1019,0.4835,SyntheticNoise,0.1666666666666666,12,265,annual
IForest,C-ML,0.0595,0.1019,0.4835,FlatLine,0.0,12,265,annual
IForest,C-ML,0.0595,0.1019,0.4835,SpikeEvent,0.0,12,265,annual
OCSVM,C-ML,0.0833,0.1019,0.749,PartialBypass,0.0,12,265,annual
OCSVM,C-ML,0.0833,0.1019,0.749,Smoothing,0.0833333333333333,12,265,annual
OCSVM,C-ML,0.0833,0.1019,0.749,FlipSchedule,0.1666666666666666,12,265,annual
OCSVM,C-ML,0.0833,0.1019,0.749,SuddenDrop,0.0,12,265,annual
OCSVM,C-ML,0.0833,0.1019,0.749,SyntheticNoise,0.0833333333333333,12,265,annual
OCSVM,C-ML,0.0833,0.1019,0.749,FlatLine,0.0,12,265,annual
OCSVM,C-ML,0.0833,0.1019,0.749,SpikeEvent,0.25,12,265,annual
Autoencoder,C-ML,0.0714,0.1019,0.4094,PartialBypass,0.0,12,265,annual
Autoencoder,C-ML,0.0714,0.1019,0.4094,Smoothing,0.0,12,265,annual
Autoencoder,C-ML,0.0714,0.1019,0.4094,FlipSchedule,0.1666666666666666,12,265,annual
Autoencoder,C-ML,0.0714,0.1019,0.4094,SuddenDrop,0.0,12,265,annual
Autoencoder,C-ML,0.0714,0.1019,0.4094,SyntheticNoise,0.0833333333333333,12,265,annual
Autoencoder,C-ML,0.0714,0.1019,0.4094,FlatLine,0.0,12,265,annual
Autoencoder,C-ML,0.0714,0.1019,0.4094,SpikeEvent,0.25,12,265,annual
RobustPCA,D-Alternativo,0.0714,0.1019,0.6391,PartialBypass,0.0,12,265,annual
RobustPCA,D-Alternativo,0.0714,0.1019,0.6391,Smoothing,0.0,12,265,annual
RobustPCA,D-Alternativo,0.0714,0.1019,0.6391,FlipSchedule,0.1666666666666666,12,265,annual
RobustPCA,D-Alternativo,0.0714,0.1019,0.6391,SuddenDrop,0.0,12,265,annual
RobustPCA,D-Alternativo,0.0714,0.1019,0.6391,SyntheticNoise,0.0833333333333333,12,265,annual
RobustPCA,D-Alternativo,0.0714,0.1019,0.6391,FlatLine,0.0,12,265,annual
RobustPCA,D-Alternativo,0.0714,0.1019,0.6391,SpikeEvent,0.25,12,265,annual
Conformal,D-Alternativo,0.0714,0.0981,0.9257,PartialBypass,0.0,12,265,annual
Conformal,D-Alternativo,0.0714,0.0981,0.9257,Smoothing,0.0833333333333333,12,265,annual
Conformal,D-Alternativo,0.0714,0.0981,0.9257,FlipSchedule,0.1666666666666666,12,265,annual
Conformal,D-Alternativo,0.0714,0.0981,0.9257,SuddenDrop,0.0,12,265,annual
Conformal,D-Alternativo,0.0714,0.0981,0.9257,SyntheticNoise,0.0833333333333333,12,265,annual
Conformal,D-Alternativo,0.0714,0.0981,0.9257,FlatLine,0.0,12,265,annual
Conformal,D-Alternativo,0.0714,0.0981,0.9257,SpikeEvent,0.1666666666666666,12,265,annual
SigMaHaKNN_d2_k3,Signatures,0.0595,0.1019,0.2414,PartialBypass,0.0,12,265,annual
SigMaHaKNN_d2_k3,Signatures,0.0595,0.1019,0.2414,Smoothing,0.0,12,265,annual
SigMaHaKNN_d2_k3,Signatures,0.0595,0.1019,0.2414,FlipSchedule,0.1666666666666666,12,265,annual
SigMaHaKNN_d2_k3,Signatures,0.0595,0.1019,0.2414,SuddenDrop,0.0,12,265,annual
SigMaHaKNN_d2_k3,Signatures,0.0595,0.1019,0.2414,SyntheticNoise,0.0833333333333333,12,265,annual
SigMaHaKNN_d2_k3,Signatures,0.0595,0.1019,0.2414,FlatLine,0.0,12,265,annual
SigMaHaKNN_d2_k3,Signatures,0.0595,0.1019,0.2414,SpikeEvent,0.1666666666666666,12,265,annual
SigMaHaKNN_d2_k10,Signatures,0.0595,0.1019,0.2414,PartialBypass,0.0,12,265,annual
SigMaHaKNN_d2_k10,Signatures,0.0595,0.1019,0.2414,Smoothing,0.0,12,265,annual
SigMaHaKNN_d2_k10,Signatures,0.0595,0.1019,0.2414,FlipSchedule,0.1666666666666666,12,265,annual
SigMaHaKNN_d2_k10,Signatures,0.0595,0.1019,0.2414,SuddenDrop,0.0,12,265,annual
SigMaHaKNN_d2_k10,Signatures,0.0595,0.1019,0.2414,SyntheticNoise,0.0833333333333333,12,265,annual
