Detector,Familia,DR_global,AR_global,tau,TipoAnomalia,DR_tipo,n_tipo,n_orig,muestra
IForest,C-ML,0.1071,0.1003,0.4667,Smoothing,0.0625,16,349,monthly
IForest,C-ML,0.1071,0.1003,0.4667,FlipSchedule,0.3125,16,349,monthly
IForest,C-ML,0.1071,0.1003,0.4667,SuddenDrop,0.0,16,349,monthly
IForest,C-ML,0.1071,0.1003,0.4667,SyntheticNoise,0.125,16,349,monthly
IForest,C-ML,0.1071,0.1003,0.4667,FlatLine,0.0625,16,349,monthly
IForest,C-ML,0.1071,0.1003,0.4667,SpikeEvent,0.1875,16,349,monthly
OCSVM,C-ML,0.1875,0.1003,0.477,PartialBypass,0.0,16,349,monthly
OCSVM,C-ML,0.1875,0.1003,0.477,Smoothing,0.0625,16,349,monthly
OCSVM,C-ML,0.1875,0.1003,0.477,FlipSchedule,0.5,16,349,monthly
OCSVM,C-ML,0.1875,0.1003,0.477,SuddenDrop,0.0,16,349,monthly
OCSVM,C-ML,0.1875,0.1003,0.477,SyntheticNoise,0.1875,16,349,monthly
OCSVM,C-ML,0.1875,0.1003,0.477,FlatLine,0.0625,16,349,monthly
OCSVM,C-ML,0.1875,0.1003,0.477,SpikeEvent,0.5,16,349,monthly
Autoencoder,C-ML,0.125,0.1003,0.1533,PartialBypass,0.0,16,349,monthly
Autoencoder,C-ML,0.125,0.1003,0.1533,Smoothing,0.0,16,349,monthly
Autoencoder,C-ML,0.125,0.1003,0.1533,FlipSchedule,0.375,16,349,monthly
Autoencoder,C-ML,0.125,0.1003,0.1533,SuddenDrop,0.0,16,349,monthly
Autoencoder,C-ML,0.125,0.1003,0.1533,SyntheticNoise,0.0625,16,349,monthly
Autoencoder,C-ML,0.125,0.1003,0.1533,FlatLine,0.0,16,349,monthly
Autoencoder,C-ML,0.125,0.1003,0.1533,SpikeEvent,0.4375,16,349,monthly
RobustPCA,D-Alternativo,0.125,0.1003,0.3821,PartialBypass,0.0,16,349,monthly
RobustPCA,D-Alternativo,0.125,0.1003,0.3821,Smoothing,0.0,16,349,monthly
RobustPCA,D-Alternativo,0.125,0.1003,0.3821,FlipSchedule,0.375,16,349,monthly
RobustPCA,D-Alternativo,0.125,0.1003,0.3821,SuddenDrop,0.0,16,349,monthly
RobustPCA,D-Alternativo,0.125,0.1003,0.3821,SyntheticNoise,0.0625,16,349,monthly
RobustPCA,D-Alternativo,0.125,0.1003,0.3821,FlatLine,0.0,16,349,monthly
RobustPCA,D-Alternativo,0.125,0.1003,0.3821,SpikeEvent,0.4375,16,349,monthly
Conformal,D-Alternativo,0.1518,0.0974,0.8796,PartialBypass,0.0,16,349,monthly
Conformal,D-Alternativo,0.1518,0.0974,0.8796,Smoothing,0.0,16,349,monthly
Conformal,D-Alternativo,0.1518,0.0974,0.8796,FlipSchedule,0.4375,16,349,monthly
Conformal,D-Alternativo,0.1518,0.0974,0.8796,SuddenDrop,0.0,16,349,monthly
Conformal,D-Alternativo,0.1518,0.0974,0.8796,SyntheticNoise,0.1875,16,349,monthly
Conformal,D-Alternativo,0.1518,0.0974,0.8796,FlatLine,0.0625,16,349,monthly
Conformal,D-Alternativo,0.1518,0.0974,0.8796,SpikeEvent,0.375,16,349,monthly
SigMaHaKNN_d2_k3,Signatures,0.1161,0.1003,0.3075,PartialBypass,0.125,16,349,monthly
SigMaHaKNN_d2_k3,Signatures,0.1161,0.1003,0.3075,Smoothing,0.0,16,349,monthly
SigMaHaKNN_d2_k3,Signatures,0.1161,0.1003,0.3075,FlipSchedule,0.125,16,349,monthly
SigMaHaKNN_d2_k3,Signatures,0.1161,0.1003,0.3075,SuddenDrop,0.0,16,349,monthly
SigMaHaKNN_d2_k3,Signatures,0.1161,0.1003,0.3075,SyntheticNoise,0.1875,16,349,monthly
SigMaHaKNN_d2_k3,Signatures,0.1161,0.1003,0.3075,FlatLine,0.1875,16,349,monthly
SigMaHaKNN_d2_k3,Signatures,0.1161,0.1003,0.3075,SpikeEvent,0.1875,16,349,monthly
SigMaHaKNN_d2_k10,Signatures,0.1161,0.1003,0.3075,PartialBypass,0.125,16,349,monthly
SigMaHaKNN_d2_k10,Signatures,0.1161,0.1003,0.3075,Smoothing,0.0,16,349,monthly
SigMaHaKNN_d2_k10,Signatures,0.1161,0.1003,0.3075,FlipSchedule,0.125,16,349,monthly
SigMaHaKNN_d2_k10,Signatures,0.1161,0.1003,0.3075,SuddenDrop,0.0,16,349,monthly
SigMaHaKNN_d2_k10,Signatures,0.1161,0.1003,0.3075,SyntheticNoise,0.1875,16,349,monthly
SigMaHaKNN_d2_k10,Signatures,0.1161,0.1003,0.3075,FlatLine,0.1875,16,349,monthly
SigMaHaKNN_d2_k10,Signatures,0.1161,0.1003,0.3075,SpikeEvent,0.1875,16,349,monthly
SigMaHaKNN_d2_k20,Signatures,0.0893,0.1003,0.3266,PartialBypass,0.125,16,349,monthly
SigMaHaKNN_d2_k20,Signatures,0.0893,0.1003,0.3266,Smoothing,0.0,16,349,monthly
SigMaHaKNN_d2_k20,Signatures,0.0893,0.1003,0.3266,FlipSchedule,0.1875,16,349,monthly
SigMaHaKNN_d2_k20,Signatures,0.0893,0.1003,0.3266,SuddenDrop,0.0,16,349,monthly
SigMaHaKNN_d2_k20,Signatures,0.0893,0.1003,0.3266,SyntheticNoise,0.1875,16,349,monthly
SigMaHaKNN_d2_k20,Signatures,0.0893,0.1003,0.3266,FlatLine,0.125,16,349,monthly
SigMaHaKNN_d2_k20,Signatures,0.0893,0.1003,0.3266,SpikeEvent,0.0,16,349,monthly
SigKernel_d2,Signatures,0.0536,0.1003,0.1408,PartialBypass,0.0625,16,349,monthly
SigKernel_d2,Signatures,0.0536,0.1003,0.1408,Smoothing,0.125,16,349,monthly
SigKernel_d2,Signatures,0.0536,0.1003,0.1408,FlipSchedule,0.0,16,349,monthly
SigKernel_d2,Signatures,0.0536,0.1003,0.1408,SuddenDrop,0.0625,16,349,monthly
SigKernel_d2,Signatures,0.0536,0.1003,0.1408,SyntheticNoise,0.0,16,349,monthly
